model_name,split,threshold,accuracy,precision,recall,f1_score,pr_auc_average_precision,roc_auc,true_positives,false_positives,false_negatives,true_negatives,positives_in_split,predicted_positive_alerts,alert_rate_percent,alerts_per_10k_transactions
XGBoost_class_weight,validation,0.61,0.9988075290779448,0.578088578088578,0.9465648854961832,0.7178002894356006,0.9467937540721271,0.999320026048758,248,181,14,163083,262,429,0.262344,26.23
XGBoost_class_weight,validation,0.62,0.9988564509619265,0.5890736342042755,0.9465648854961832,0.726207906295754,0.9467937540721271,0.999320026048758,248,173,14,163091,262,421,0.257451,25.75
XGBoost_class_weight,validation,0.63,0.9988747966684197,0.59375,0.9427480916030534,0.7286135693215339,0.9467937540721271,0.999320026048758,247,169,15,163095,262,416,0.254394,25.44
XGBoost_class_weight,validation,0.64,0.9989053728459083,0.6014669926650367,0.9389312977099237,0.7332339791356185,0.9467937540721271,0.999320026048758,246,163,16,163101,262,409,0.250113,25.01
XGBoost_class_weight,validation,0.65,0.9989481794943923,0.6125,0.9351145038167938,0.7401812688821753,0.9467937540721271,0.999320026048758,245,155,17,163109,262,400,0.244609,24.46
XGBoost_class_weight,validation,0.66,0.9989604099653878,0.6161616161616161,0.9312977099236641,0.7416413373860182,0.9467937540721271,0.999320026048758,244,152,18,163112,262,396,0.242163,24.22
XGBoost_class_weight,validation,0.67,0.998997101378374,0.6262886597938144,0.9274809160305344,0.7476923076923077,0.9467937540721271,0.999320026048758,243,145,19,163119,262,388,0.237271,23.73
XGBoost_class_weight,validation,0.68,0.9990276775558626,0.6344647519582245,0.9274809160305344,0.7534883720930232,0.9467937540721271,0.999320026048758,243,140,19,163124,262,383,0.234214,23.42
XGBoost_class_weight,validation,0.69,0.9990460232623558,0.6394736842105263,0.9274809160305344,0.7570093457943925,0.9467937540721271,0.999320026048758,243,137,19,163127,262,380,0.232379,23.24
XGBoost_class_weight,validation,0.7,0.9990765994398444,0.648,0.9274809160305344,0.7629513343799058,0.9467937540721271,0.999320026048758,243,132,19,163132,262,375,0.229321,22.93
XGBoost_class_weight,validation,0.71,0.9991255213238261,0.662125340599455,0.9274809160305344,0.7726550079491256,0.9467937540721271,0.999320026048758,243,124,19,163140,262,367,0.224429,22.44
XGBoost_class_weight,validation,0.72,0.9991438670303193,0.6675824175824175,0.9274809160305344,0.7763578274760383,0.9467937540721271,0.999320026048758,243,121,19,163143,262,364,0.222595,22.26
XGBoost_class_weight,validation,0.73,0.9991622127368125,0.6731301939058172,0.9274809160305344,0.7800963081861958,0.9467937540721271,0.999320026048758,243,118,19,163146,262,361,0.22076,22.08
XGBoost_class_weight,validation,0.74,0.9991866736788033,0.680672268907563,0.9274809160305344,0.7851373182552503,0.9467937540721271,0.999320026048758,243,114,19,163150,262,357,0.218314,21.83
XGBoost_class_weight,validation,0.75,0.9991927889143011,0.6825842696629213,0.9274809160305344,0.7864077669902912,0.9467937540721271,0.999320026048758,243,113,19,163151,262,356,0.217702,21.77
XGBoost_class_weight,validation,0.76,0.9991927889143011,0.6825842696629213,0.9274809160305344,0.7864077669902912,0.9467937540721271,0.999320026048758,243,113,19,163151,262,356,0.217702,21.77
XGBoost_class_weight,validation,0.77,0.9992050193852965,0.6864406779661016,0.9274809160305344,0.788961038961039,0.9467937540721271,0.999320026048758,243,111,19,163153,262,354,0.216479,21.65
XGBoost_class_weight,validation,0.78,0.9992111346207943,0.6883852691218131,0.9274809160305344,0.7902439024390244,0.9467937540721271,0.999320026048758,243,110,19,163154,262,353,0.215868,21.59
XGBoost_class_weight,validation,0.79,0.9992355955627851,0.6962750716332379,0.9274809160305344,0.795417348608838,0.9467937540721271,0.999320026048758,243,106,19,163158,262,349,0.213422,21.34
XGBoost_class_weight,validation,0.8,0.999260056504776,0.7043478260869566,0.9274809160305344,0.800658978583196,0.9467937540721271,0.999320026048758,243,102,19,163162,262,345,0.210976,21.1
XGBoost_class_weight,validation,0.81,0.9992906326822646,0.7147058823529412,0.9274809160305344,0.8073089700996677,0.9467937540721271,0.999320026048758,243,97,19,163167,262,340,0.207918,20.79
XGBoost_class_weight,validation,0.82,0.9993089783887578,0.7210682492581603,0.9274809160305344,0.8113522537562604,0.9467937540721271,0.999320026048758,243,94,19,163170,262,337,0.206083,20.61
XGBoost_class_weight,validation,0.83,0.9993579002727395,0.7386018237082067,0.9274809160305344,0.8223350253807107,0.9467937540721271,0.999320026048758,243,86,19,163178,262,329,0.201191,20.12
